problem_id,attempts,accuracy,skill_key,unique_learners
1002,304,0.8980263157894737,106.0,298
1009,313,0.4281150159744409,106.0,295
1013,373,0.7560321715817694,106.0,356
102474,437,0.6521739130434783,75.0,432
102494,304,0.944078947368421,75.0,302
1063,402,0.7860696517412935,103.0,350
107667,305,0.6065573770491803,311.0,265
107674,242,0.7148760330578512,311.0,218
107681,273,0.7252747252747253,311.0,240
107689,233,0.7467811158798283,311.0,204
107696,225,0.5733333333333334,311.0,199
107703,225,0.6533333333333333,311.0,201
107710,244,0.6516393442622951,311.0,213
107717,246,0.7073170731707317,311.0,228
107724,217,0.6036866359447005,311.0,196
107731,236,0.788135593220339,311.0,209
107738,253,0.7391304347826086,311.0,231
107745,257,0.6614785992217899,311.0,229
107753,228,0.7631578947368421,311.0,205
107760,252,0.6904761904761905,311.0,221
107767,243,0.6090534979423868,311.0,210
107774,239,0.7364016736401674,311.0,217
107781,254,0.6850393700787402,311.0,224
107788,246,0.7317073170731707,311.0,223
107795,238,0.6890756302521008,311.0,215
107802,277,0.7292418772563177,311.0,234
107809,228,0.5219298245614035,311.0,199
107816,247,0.6356275303643725,311.0,219
107823,245,0.6285714285714286,311.0,224
107830,226,0.588495575221239,311.0,192
107837,244,0.5491803278688525,311.0,211
107844,240,0.6,311.0,218
107851,245,0.6612244897959184,311.0,216
107858,253,0.7312252964426877,311.0,224
107865,247,0.6761133603238867,311.0,223
107872,242,0.6239669421487604,311.0,217
107885,236,0.5211864406779662,312.0,206
107890,195,0.6205128205128205,312.0,177
107895,192,0.5572916666666666,312.0,175
107900,205,0.5414634146341464,312.0,184
107905,380,0.36578947368421055,312.0,343
107910,193,0.5906735751295337,312.0,172
107925,203,0.5320197044334976,312.0,183
107985,187,0.679144385026738,312.0,169
107990,196,0.75,312.0,177
108000,195,0.7128205128205128,312.0,179
108010,210,0.6714285714285714,312.0,191
108042,193,0.6787564766839378,312.0,173
108057,193,0.6062176165803109,312.0,175
108062,196,0.6479591836734694,312.0,179
108072,189,0.6349206349206349,312.0,177
108077,191,0.6387434554973822,312.0,175
108112,219,0.54337899543379,312.0,196
108127,194,0.5773195876288659,312.0,177
108142,188,0.5585106382978723,312.0,169
108212,202,0.806930693069307,312.0,183
108217,192,0.6875,312.0,167
108222,191,0.7225130890052356,312.0,177
108232,189,0.7037037037037037,312.0,171
108237,198,0.6818181818181818,312.0,181
108248,190,0.6421052631578947,312.0,172
108253,192,0.6041666666666666,312.0,171
108258,204,0.6519607843137255,312.0,180
108263,187,0.6737967914438503,312.0,166
108268,199,0.6582914572864321,312.0,180
108273,186,0.6182795698924731,312.0,167
108278,197,0.6649746192893401,312.0,177
108283,196,0.6326530612244898,312.0,183
108288,187,0.7112299465240641,312.0,171
108293,188,0.6063829787234043,312.0,171
1085,343,0.6763848396501457,77.0,293
109091,195,0.8769230769230769,277.0,195
109445,249,0.8072289156626506,82.0,249
109466,197,0.48223350253807107,36.0,195
1096,196,0.7397959183673469,8.0,194
112643,235,0.5829787234042553,88.0,210
1136,265,0.6264150943396226,95.0,175
1144,206,0.8203883495145631,278.0,205
114757,249,0.7791164658634538,35.0,249
115226,240,0.8958333333333334,32.0,240
117,292,0.8732876712328768,75.0,292
119238,480,0.7979166666666667,18.0,462
119241,215,0.9162790697674419,18.0,214
119248,197,0.4213197969543147,18.0,194
119251,188,0.5053191489361702,18.0,184
119258,308,0.8246753246753247,18.0,290
119308,370,0.772972972972973,18.0,367
119318,300,0.8766666666666667,18.0,281
119338,221,0.8642533936651584,18.0,217
119358,244,0.8934426229508197,18.0,244
119371,203,0.8669950738916257,18.0,200
121713,288,0.7013888888888888,83.0,282
121725,273,0.7362637362637363,83.0,269
121740,283,0.5053003533568905,83.0,282
121749,277,0.5776173285198556,83.0,275
121829,274,0.6277372262773723,83.0,268
121849,202,0.6831683168316832,83.0,200
121874,287,0.7421602787456446,83.0,282
121925,192,0.8697916666666666,317.0,190
121929,205,0.8829268292682927,317.0,196
121931,195,0.8871794871794871,317.0,193
121940,196,0.9081632653061225,317.0,194
121978,197,0.8984771573604061,317.0,195
121979,184,0.8043478260869565,317.0,183
121984,195,0.8666666666666667,317.0,192
121991,186,0.9247311827956989,317.0,185
122012,197,0.8578680203045685,317.0,194
122038,384,0.625,311.0,369
122072,185,0.827027027027027,311.0,172
122247,551,0.8166969147005445,324.0,421
12295,189,0.7619047619047619,277.0,189
12302,302,0.5463576158940397,321.0,222
12320,458,0.8187772925764192,92.0,457
12324,414,0.5942028985507246,5.0,411
12327,1051,0.5956232159847764,86.0,944
12337,189,0.8518518518518519,277.0,155
12344,410,0.5365853658536586,16.0,406
12347,1431,0.6743535988819007,77.0,1217
