user_id,question_id,timestamp,correctness,response_time,rapid_guess_flag,rapid_guess_penalty,streak_before,DARS_rating_before,DARS_rating_after,momentum_state,topic,difficulty_label,graph_hop_distance,remediation_flag,recommendation_source
stu_fte455_001,la-32,2026-01-15T09:00:56.101Z,0,135,0,0,0,1331,1306,cold,Eigenvalues & Eigenvectors,Hard,0,0,fallback
stu_fte455_001,la-33,2026-01-15T19:59:07.797Z,0,149,0,0,-1,1306,1292,cold,Eigenvalues & Eigenvectors,Hard,1,1,Graph route
stu_fte455_001,la-43,2026-01-16T08:04:14.103Z,1,112,0,0,-2,1292,1292,cold,Eigenvalues & Eigenvectors,Hard,1,1,Graph route
stu_fte455_001,la-31,2026-01-16T19:16:52.090Z,1,123,0,0,1,1292,1291,cold,Eigenvalues & Eigenvectors,Hard,1,0,Graph route
stu_fte455_001,la-4,2026-01-17T06:28:45.434Z,1,118,0,0,2,1291,1293,cold,Eigenvalues & Eigenvectors,Hard,1,0,Graph route
stu_fte455_001,la-nat-1,2026-01-17T18:13:08.354Z,1,103,0,0,3,1293,1301,steady,Eigenvalues & Eigenvectors,Hard,1,0,Graph route
stu_fte455_001,mock5-q28,2026-01-18T05:10:23.226Z,0,105,0,0,4,1301,1275,cold,Eigenvalues & Eigenvectors,Medium,1,0,Graph route
stu_fte455_001,mock3-q48,2026-01-18T16:53:43.918Z,1,66,0,0,-1,1275,1267,cold,Eigenvalues & Eigenvectors,Easy,1,1,Graph route
stu_fte455_001,mock2-q48,2026-01-19T04:36:10.166Z,1,30,0,0,1,1267,1282,steady,Eigenvalues & Eigenvectors,Easy,1,0,Graph route
stu_fte455_001,mock3-q58,2026-01-19T16:58:33.320Z,1,45,0,0,2,1282,1286,steady,Eigenvalues & Eigenvectors,Easy,1,0,Graph route
stu_fte455_001,mock3-q30,2026-01-20T04:24:00.328Z,1,53,0,0,3,1286,1286,steady,Eigenvalues & Eigenvectors,Easy,1,0,Graph route
stu_fte455_001,mock2-q58,2026-01-20T15:19:47.669Z,1,44,0,0,4,1286,1295,hot,Eigenvalues & Eigenvectors,Easy,1,0,Graph route
stu_fte455_001,la-45,2026-01-21T03:27:09.147Z,0,87,0,0,5,1295,1255,steady,Eigenvalues & Eigenvectors,Medium,1,0,Graph route
stu_fte455_001,la-40,2026-01-21T14:20:04.000Z,0,106,0,0,-1,1255,1236,steady,Eigenvalues & Eigenvectors,Medium,1,1,Graph route
stu_fte455_001,la-35,2026-01-22T01:12:37.966Z,1,75,0,0,-2,1236,1230,steady,Eigenvalues & Eigenvectors,Medium,1,1,Graph route
