user_id,persona,evaluation_split,n_attempts,actual_accuracy,rapid_guess_rate,remediation_rate,avg_response_time,final_dars_rating,final_glicko2_rating,final_glicko2_rd,final_fixed_elo_rating,darsplus_calibrated_brier,darsplus_calibrated_log_loss,darsplus_calibrated_auc,dars_brier,dars_log_loss,dars_auc,glicko_2_brier,glicko_2_log_loss,glicko_2_auc,fixed_elo_k32_brier,fixed_elo_k32_log_loss,fixed_elo_k32_auc,static_start_brier,static_start_log_loss,static_start_auc
stu_fte455_001,steady_improver,test,363,0.6721763085399449,0.0027548209366391185,0.31129476584022037,77.69972451790633,1445.0,1535.9529798848823,46.10987565041292,1520.8902449438956,0.21651114839261018,0.6220044309824263,0.5964147954263672,0.23271207965316582,0.656933470470659,0.6284095605455297,0.21647598186825423,0.6217417071071597,0.61125843780135,0.21713012426791356,0.6243138868865976,0.597844055655049,0.2554737293269278,0.7069517462245918,0.6163038986086238
stu_fte455_002,fast_but_careless,test,307,0.5732899022801303,0.04560260586319218,0.40390879478827363,74.28338762214983,1447.0,1454.6172571656193,30.0,1467.4395338161607,0.2384867560151107,0.6705667433952519,0.5847284871616932,0.24719849460044924,0.6907042608042445,0.5735166551006246,0.24708853496972372,0.6889476521575821,0.5670975017349064,0.25241017449009673,0.6992514880644801,0.5422015961138098,0.248898371730478,0.6963978348833767,0.5801960444136016
stu_fte455_003,slow_analytical,train,306,0.5751633986928104,0.0,0.4019607843137255,106.17320261437908,1373.0,1437.6521038976507,51.24298135769651,1440.248682767952,0.23231931091132396,0.6566103692364303,0.5989291958041958,0.24789974654368926,0.6888030417403422,0.5966346153846154,0.24327454112125838,0.6800882069234678,0.5826048951048951,0.24120813939357313,0.6753847744143179,0.5793706293706293,0.2441332455985789,0.6806127431868765,0.5949519230769231
stu_fte455_004,volatile_practicer,train,322,0.5745341614906833,0.0,0.41304347826086957,93.9192546583851,1444.0,1426.8303979580107,43.065422895712075,1408.8742443678277,0.23998404825859462,0.6732588283354073,0.5875912408759124,0.24539253572788558,0.6852852468447258,0.5649043203787729,0.24535829237903722,0.6849514854517219,0.5661077135529691,0.25140732714073205,0.6985032223907133,0.5506806076149142,0.24466283269142308,0.6833370311821625,0.5706253698954429
stu_fte455_005,remediation_responder,train,218,0.6192660550458715,0.0,0.37155963302752293,92.6697247706422,1458.0,1465.535881470155,30.410627893037727,1429.2964913846524,0.21177883825100205,0.6110545161107092,0.6863900044622936,0.21619950173608724,0.621331718938978,0.6681392235609103,0.21589432084692073,0.6208545206611866,0.6584114234716645,0.2213143734534811,0.6317122758691139,0.6221329763498438,0.21655641568952877,0.6218853131039425,0.6645693886657742
stu_fte455_006,steady_improver,train,203,0.6157635467980296,0.0,0.3448275862068966,88.05418719211822,1344.0,1496.5805225771783,51.860295686370854,1489.6173052738136,0.2308295574118686,0.6535503804309959,0.5702051282051283,0.26822973647893783,0.7322339680583664,0.5502051282051282,0.2504731348143192,0.6974804855776058,0.5423589743589744,0.24762688832761895,0.6902876089918798,0.5077948717948718,0.2705734524263239,0.7371271018759327,0.5652307692307692
stu_fte455_007,fast_but_careless,train,312,0.5576923076923077,0.035256410256410256,0.4230769230769231,70.0448717948718,1344.0,1391.9675438453453,53.096721897534984,1363.3944431115606,0.2351533748655389,0.6634798447478251,0.6191487589538565,0.23595880392999805,0.664674407519724,0.6214809262035649,0.23740596606249184,0.6676350226900862,0.6182533733133433,0.24256527788283813,0.6793870988979225,0.5892053973013494,0.2354750393990774,0.6633629527996453,0.623375812093953
stu_fte455_008,slow_analytical,train,210,0.6,0.0,0.38095238095238093,109.88571428571429,1525.0,1529.0312776845574,51.00775492112791,1515.366296346001,0.2402004942454096,0.673855512827941,0.5415249433106576,0.24520878590386086,0.6853264560247067,0.551067649281935,0.24708595888227797,0.6893224192437379,0.5482804232804233,0.25044960779556896,0.6965815609379051,0.5393990929705216,0.24407533442961002,0.6828574614182138,0.5602324263038548
stu_fte455_009,volatile_practicer,train,309,0.6213592233009708,0.0,0.3592233009708738,96.49190938511327,1689.0,1553.6557025804407,50.8117624220664,1535.249040733796,0.22591406971808742,0.6440461594302358,0.6017850783475783,0.2538954728589716,0.7268040024602965,0.5761885683760684,0.24866463620409993,0.6956076766065308,0.5317396723646723,0.24213536184407897,0.6798383711123017,0.5437143874643875,0.2525825880691366,0.7226377373374717,0.5840010683760684
stu_fte455_010,remediation_responder,train,419,0.6443914081145584,0.0,0.33890214797136037,95.70883054892602,1582.0,1499.9010393923684,45.35239105532805,1482.8009037308352,0.21837608912027517,0.6274971439617181,0.625901068854089,0.2241771450662942,0.6412837411938032,0.6069848371861795,0.22830286478626338,0.6522684968408053,0.6013298533432762,0.22552596538887024,0.6460971954235561,0.609992542878449,0.22318746250455868,0.6380424731361537,0.6196619438230176
