segment,value,n,actual_accuracy,avg_response_time,rapid_guess_rate,avg_dars_delta,DARS+ calibrated_brier,DARS+ calibrated_log_loss,DARS+ calibrated_auc,DARS_brier,DARS_log_loss,DARS_auc,Glicko-2_brier,Glicko-2_log_loss,Glicko-2_auc,Fixed Elo K=32_brier,Fixed Elo K=32_log_loss,Fixed Elo K=32_auc,Static start_brier,Static start_log_loss,Static start_auc
persona,fast_but_careless,4327,0.5567367691241044,74.50265773052924,0.04298590247284493,-6.6094291657037205,0.2377455613656719,0.6684519409097129,0.6216944322883728,0.2524016674746867,0.7092318163662246,0.5937821802235361,0.2430553746294506,0.6807250526163247,0.5998063613552065,0.2445706143562488,0.6840766253508357,0.5931123337882662,0.2525895766234897,0.7102491421442614,0.6036620363937633
persona,remediation_responder,3347,0.6130863459814759,97.61906184642964,0.0,5.967732297579922,0.22449087340027393,0.6396092608000049,0.6358998095840201,0.24021980846949217,0.6871901038590458,0.6171291592344224,0.23237556053731345,0.6577598263850483,0.6068732266100687,0.23289049335309536,0.6588369183489139,0.6016932345879714,0.24030090587218642,0.6857255863132561,0.6177801862012389
persona,slow_analytical,4917,0.6422615415904006,104.31665649786456,0.0,10.387634736628025,0.21686327889224488,0.6223283029785024,0.6426417868693746,0.23293789663630393,0.6738710899563115,0.62250946097893,0.2248732777223836,0.6409291002271376,0.619756677051451,0.2241651146518401,0.6395560779867115,0.6177627696662528,0.22853215930564322,0.6557339993642415,0.6268497559461681
persona,steady_improver,5229,0.6622681200994454,85.92254733218589,0.0005737234652897303,13.368521705871103,0.2133605130748038,0.6153268861255741,0.6334915229072653,0.22514032511056495,0.6506006280212646,0.6133440588077358,0.21800033484953132,0.6275495742426319,0.6203951398197872,0.21745226692895187,0.6253754989333837,0.6181154995913768,0.22686401228368558,0.6491083767767784,0.6108694272962942
persona,volatile_practicer,3512,0.5831435079726651,93.70728929384966,0.0,1.6400911161731206,0.23513619482509646,0.6625553475552277,0.6058156164617486,0.2497500786982617,0.7026236907775876,0.5848015123377732,0.24176894387432657,0.6786167131934225,0.5938777402450478,0.24340753045361102,0.6820120977039881,0.5838412925845287,0.2486822893896079,0.7007326185125973,0.5895762625939208
difficulty_label,Easy,4107,0.786218651083516,50.44509374239104,0.04601899196493791,9.801071341611882,0.16584101972540782,0.5122961859344174,0.5828343436580928,0.1726945779756164,0.5406103440419175,0.573957994569431,0.16798343918114506,0.5184058629508705,0.5753814202299632,0.1684758809529188,0.5190699655049156,0.5708742877580808,0.1717581379582085,0.5363987098249708,0.56422416864252
difficulty_label,Hard,4523,0.4795489719212912,130.2482865354853,0.0,1.2447490603581695,0.2466845760294145,0.6864560166464917,0.557843823898425,0.2678889359087454,0.7405723582958964,0.5583083912377743,0.2584413328069272,0.713266901144601,0.5466050938672803,0.25835568290771427,0.7128744201492084,0.543317281082434,0.2663796091408099,0.7346130738413389,0.5543829734895
difficulty_label,Medium,12702,0.6087230357424027,90.07455518815935,0.0,5.6866635175562905,0.23547549782032307,0.6635765768539673,0.5618581119411763,0.2499587544797192,0.7071331383033891,0.5657189906120634,0.24132748090955128,0.677690708142985,0.5550613041935004,0.24180391687724284,0.6785535804962253,0.5486590000426772,0.24959323989445326,0.7024194516193628,0.5577403765583673
question_count_in_test,30,3397,0.6199587871651457,91.88843096850162,0.003532528701795702,3.537238740064763,0.22498774475431296,0.6406310912705723,0.623038414091861,0.23661724705416454,0.6752058493540702,0.6059484428319957,0.23029185315714995,0.6544793263647756,0.6128000629678916,0.23119975091733788,0.6558884899017794,0.6083049573238057,0.23592505428260088,0.6705335665335294,0.6030587977399234
question_count_in_test,40,4369,0.6070038910505836,92.45342183566034,0.00869764248111696,3.802700846875715,0.22520226984622793,0.6410102952892645,0.6364842832433363,0.24254271492003293,0.6898396418323354,0.6069962033467121,0.23215990150352422,0.6567954939824913,0.617919048359454,0.23212005422480075,0.6564749732275732,0.6166121369922459,0.241924907468789,0.6849793792809717,0.6050952413580458
question_count_in_test,50,5705,0.6194566170026292,90.01735319894829,0.013672217353198948,5.077651183172655,0.22295716201581062,0.6362024276395899,0.6368896007123797,0.23608100001244256,0.6775537606129951,0.6166610881671423,0.22735492441861246,0.6471876511179128,0.6234049466692839,0.22835764071015252,0.6488109005496873,0.6157904903266472,0.23583736806078978,0.6732313328218062,0.6137469738595162
question_count_in_test,65,7861,0.615443327820888,90.42042997074164,0.007759826994021117,7.698384429461901,0.22487094307572375,0.6400277358192388,0.6301674416492983,0.2398669855569138,0.6842478962681282,0.6100516817667826,0.23285993090750484,0.6587221871708576,0.6101691838388805,0.2327398725371068,0.6586287220790018,0.6071055489285192,0.23873800571958403,0.6788594480808176,0.6090592559154789
recommendation_source,Graph route,20412,0.6211052322163433,90.03654712913972,0.009063296100333138,5.673574368018812,0.22348939121323746,0.6372719675343387,0.6303519801991709,0.23793559500195877,0.6805194857492785,0.6095331927706837,0.22955593852258885,0.65190561841717,0.6148939285592047,0.22983225901094606,0.6522915026167116,0.6111845264983399,0.23744807127911227,0.6761355317403385,0.6067900722366207
recommendation_source,fallback,920,0.49130434782608695,111.51304347826087,0.004347826086956522,2.506521739130435,0.245660570937426,0.6843426921879435,0.5680451554345359,0.2599489381331764,0.7186269990955123,0.5289217910899326,0.2592217156442734,0.7136184399099783,0.5180158460025717,0.2614461718571039,0.7180051942546678,0.5069231714696316,0.254118420574294,0.7027150378487919,0.5436379623326526
remediation_flag,0,13511,0.6283768780993265,84.81444748723263,0.013248464214343869,7.821848863888683,0.2207430520768487,0.63121426096425,0.6372189337174914,0.23648345195572504,0.6785074949861495,0.610966813353292,0.22703406597714404,0.6463711174644112,0.6209913416653589,0.22744230550578232,0.6472947365176794,0.6167896249181002,0.23555080554647906,0.6725596805424008,0.6088334648187859
remediation_flag,1,7821,0.5932745173251502,101.58419639432297,0.0012786088735455823,1.5898222733665772,0.23084181077825502,0.6532738522229697,0.6202597385879521,0.24303368736590006,0.6884779206654235,0.6059147998894296,0.23740219026961026,0.6687260298921868,0.6023282433955923,0.23767977999633588,0.6686535922562645,0.60108259981138,0.24268661860875998,0.6854395173118913,0.6043234208500905
rapid_guess_flag,0,21143,0.6120701887149411,91.63988081161614,0.0,5.6299011493165585,0.22593749915158257,0.6425863856493651,0.627458504158605,0.24029433987494261,0.6855042264455609,0.6092245627893375,0.23221106338657244,0.6575956620134227,0.6125028996510545,0.232552647714212,0.658091926049007,0.6089856518925265,0.23979289455652963,0.6810992090913403,0.6061247036778494
rapid_guess_flag,1,189,1.0,15.216931216931217,1.0,-4.857142857142857,0.057548328810184485,0.27188744094868333,,0.08122307029943746,0.3083847753632264,,0.07693800176462573,0.31577442274420675,,0.0793963937480585,0.32328750091246816,,0.05628469983536258,0.25024196236228524,
momentum_before,cold,5381,0.583906337112061,88.88254971194945,0.020442296970823268,-0.6578702843337669,0.23273995651468213,0.65760146691486,0.6221083966909161,0.24250684395421548,0.6823702303258458,0.600201238447304,0.24067663246469548,0.6751572009842086,0.5989544612902061,0.2406393107329065,0.6755646678315077,0.5984204835920374,0.2422475968533062,0.6832738438862227,0.6057349759159214
momentum_before,hot,2076,0.7129094412331407,78.77601156069365,0.003371868978805395,20.30539499036609,0.19370705653090906,0.5723881451505755,0.648813599673499,0.20689970089554022,0.6256482621837747,0.6270831443859968,0.1961357098456938,0.5798825580730318,0.6425216533647742,0.19768024228244913,0.5838072926616905,0.6383411935425358,0.20315555716940803,0.6054925323819752,0.6251751541810266
momentum_before,steady,13875,0.6131891891891892,93.59293693693694,0.005189189189189189,5.729801801801802,0.2258280088896118,0.6422168933565672,0.6260583535227949,0.24226603833410668,0.690538420223802,0.6026147181460052,0.23221052991593719,0.6577563501832657,0.6095422504397269,0.2325479088293934,0.6578696585916828,0.604106272385468,0.2418229709928835,0.685699261803815,0.5983479505999199
momentum_after,cold,5387,0.47261926860961573,91.70577315760163,0.020419528494523855,-0.7195099313161314,0.24619076921733216,0.6858849161844612,0.6378969101582622,0.26709053282511863,0.7408189556795318,0.5843118786106151,0.25624321008274625,0.7094615828087207,0.5802682939440518,0.24682912946910482,0.6890199143741429,0.6304816439118253,0.26457690329724454,0.7350396378266865,0.624140938723268
momentum_after,hot,2076,1.0,71.54913294797687,0.003371868978805395,20.40799614643545,0.09272073348604537,0.349326758001578,,0.06244302911579137,0.24528069742391218,,0.09265702624803267,0.33978332706170367,,0.07622751488799318,0.3010888525105395,,0.07950144494715311,0.2950324467823531,
momentum_after,steady,13869,0.6134544667964525,93.58014276443868,0.005191434133679429,5.741149325834595,0.2357167252300985,0.6646136192246636,0.5665474486327844,0.25434032442780363,0.7247751200652147,0.558303805619772,0.24164984038569076,0.6803638845106191,0.5695628359303602,0.24831997315469223,0.6949548052189215,0.5366406740351773,0.2516589660469424,0.7120650674318375,0.5614738472769125
